회사명	종목코드
바이젠셀	308080
아주스틸	139990
롯데렌탈	089860
브레인즈컴퍼니	099390
딥노이드	315640
한컴라이프케어	372910
엠로	058970
플래티어	367000
원티드랩	376980
크래프톤	259960
HK이노엔	195940
PI첨단소재	178920
카카오뱅크	323410
한화플러스제2호스팩	386580
에브리봇	270660
맥스트	377030
큐라클	365270
에스디바이오센서	137310
오비고	352910
엠씨넥스	097520
아모센스	357580
타임기술	318660
이노뎁	303530
라온테크	232680
삼성머스트스팩5호	380320
엘비루셈	376190
이성씨엔아이	379390
에이디엠코리아	187660
에코프로에이치엔	383310
LX홀딩스	383800
제주맥주	276730
진시스템	363250
F&F	383220
삼성스팩4호	377630
삼영에스앤씨	361670
엔에이치스팩19호	380440
샘씨엔에스	252990
씨앤씨인터내셔널	352480
에이치피오	357230
SK아이이테크놀로지	361610
하이제6호스팩	377400
쿠콘	294570
이삭엔지니어링	351330
해성티피씨	059270
유진스팩6호	373340
유안타제8호스팩	367480
엔시스	333620
자이언트스텝	289220
제노코	361390
라이프시맨틱스	347700
SK바이오사이언스	302440
바이오다인	314930
DB금융스팩9호	367360
네오이뮨텍	950220
화승알앤에이	378850
싸이버원	356890
프레스티지바이오로직스	334970
나노씨엠에스	247660
하나머스트7호스팩	372290
IBKS제15호스팩	373200
뷰노	338220
유일에너테크	340930
씨이랩	189330
오로스테크놀로지	322310
피엔에이치테크	239890
하나금융17호스팩	363260
아이퀘스트	262840
프레스티지바이오파마	950210
신한제7호스팩	366330
레인보우로보틱스	277810
와이더플래닛	321820
솔루엠	248070
핑거	163730
모비릭스	348030
씨앤투스성진	352700
선진뷰티사이언스	086710
DL이앤씨	375500
엔비티	236810
한국9호스팩	368770
나우코스	257990
에이스캠퍼	322190
유안타제7호스팩	367460
루트락	253610
ESR켄달스퀘어리츠	365550
대신밸런스제9호스팩	369370
석경에이티	357550
지놈앤컴퍼니	314130
프리시젼바이오	335810
알체라	347860
엔에이치스팩18호	365590
에프앤가이드	064850
에이치엠씨제5호스팩	353060
티엘비	356860
씨엔티드림	286000
인바이오	352940
엔젠바이오	354200
DB금융스팩8호	367340
퀀타매트릭스	317690
명신산업	009900
클리노믹스	352770
포인트모바일	318020
앱코	129890
엔에프씨	265740
제일전기공업	199820
하나기술	299030
에이플러스에셋	244920
티앤엘	340570
고바이오랩	348150
네패스아크	330860
교촌에프앤비	339770
소룩스	290690
위드텍	348350
센코	347000
바이브컴퍼니	301300
원포유	122830
미코바이오메드	214610
피플바이오	304840
하이브	352820
넥스틴	348210
원방테크	053080
비나텍	126340
엔에이치스팩17호	359090
박셀바이오	323990
티와이홀딩스	363280
비비씨	318410
교보10호기업인수목적	355150
핌스	347770
압타머사이언스	291650
이오플로우	294090
카카오게임즈	293490
피엔케이피부임상연구센타	347740
코람코에너지리츠	357120
미래에셋대우스팩 5호	353490
아이디피	332370
셀레믹스	331920
데이드림엔터	348840
미투젠	950190
브랜드엑스코퍼레이션	337930
영림원소프트랩	060850
한국파마	032300
제이알글로벌리츠	348950
솔브레인	357780
이루다	164060
미래에셋맵스리츠	357250
이지스레지던스리츠	350520
와이팜	332570
이엔드디	101360
에이치엠씨제4호스팩	353070
엠투아이	347890
더네이쳐홀딩스	298540
제놀루션	225220
솔트룩스	304100
하나금융16호스팩	343510
바이오인프라생명과학	266470
티에스아이	277880
에이프로	262260
이지스밸류플러스리츠	334890
IBKS제13호스팩	351340
소마젠	950200
신도기연	290520
위더스제약	330350
에스케이바이오팜	326030
엠브레인	169330
젠큐릭스	229000
폭스소프트	354230
무진메디	322970
HB솔루션	297890
IBKS제14호스팩	351320
에스씨엠생명과학	298060
휴럼	353190
이지바이오	353810
드림씨아이에스	223250
대덕전자	353200
이베스트스팩5호	349720
오션스톤	329020
이노진	344860
단디바이오	343090
케이프이에스제4호	347140
엔피디	198080
플레이디	237820
SK6호스팩	340350
서울바이오시스	092190
제이앤티씨	204270
켄코아에어로스페이스	274090
레몬	294140
서남	294630
신영스팩6호	344050
위세아이텍	065370
케이비제20호스팩	342550
하나금융15호스팩	341160
케이씨씨글라스	344820
이앤에치	341310
한화플러스제1호스팩	340440
엔에스엠	238170
천랩	311690
피피아이	062970
RF머트리얼즈	327260
아이비김영	339950
애드바이오텍	179530
하이제5호스팩	340120
브릿지바이오	288330
다보링크	340360
대신밸런스제8호스팩	336570
메드팩토	235980
신테카바이오	226330
제이엘케이	322510
태웅로직스	124560
IBKS제12호스팩	335870
노드메이슨	317860
리메드	302550
NH프라임리츠	338100
SK5호스팩	337450
비올	335890
이도바이오	336040
진코스텍	250030
코리아센터	290510
유안타제5호스팩	336060
유엑스엔	337840
노터스	278650
센트랄모텍	308170
티움바이오	321550
씨에스베어링	297090
우양	103840
코리아에셋투자증권	190650
현대에너지솔루션	322000
에스제이그룹	306040
제테마	216080
한화시스템	272210
라파스	214260
아이티엠반도체	084850
일승	333430
자이에스앤디	317400
미디어젠	279600
하나금융14호스팩	332710
신한제6호스팩	333050
티라유텍	322180
롯데리츠	330590
지누스	013890
교보9호스팩	331520
캐리소프트	317530
한국미라클피플사	331660
케이엔제이	272110
엔바이오니아	317870
팜스빌	318010
두산퓨얼셀	336260
라온피플	300120
솔루스첨단소재	336370
제이콘텐트리	036420
아톤	158430
녹십자웰빙	234690
대신밸런스제7호스팩	332290
유진스팩5호	331380
엔지브이아이	093510
케이비제19호스팩	330990
올리패스	244460
라닉스	317120
윈텍	320000
한독크린텍	256150
아퓨어스	149300
상상인이안제2호스팩	329560
네오크레마	311390
마니커에프앤지	195500
미래에셋대우스팩3호	328380
나노브릭	286750
에스피시스템스	317830
레이	228670
그린플러스	186230
케어룸의료산업	327970
코윈테크	282880
덕산테코피아	317330
슈프리마아이디	317770
한국바이오젠	318000
세경하이테크	148150
윌링스	313760
대모	317850
에이스토리	241840
플리토	300080
이베스트이안스팩1호	323210
세틀뱅크	234340
아이스크림에듀	289010
펨토바이오메드	327610
펌텍코리아	251970
에이에프더블류	312610
티티씨디펜스	309900
신영스팩5호	323280
케이비제18호스팩	323940
엠에프엠코리아	323230
압타바이오	293780
까스텔바작	308100
마이크로디지탈	305090
유진스팩4호	321260
코퍼스코리아	322780
포스코케미칼	003670
수젠텍	253840
컴퍼니케이	307930
다원넥스뷰	323350
피에스케이	319660
현대무벡스	319400
SNK	950180
한화에스비아이스팩	317320
TS트릴리온	317240
이노벡스	279060
아모그린텍	125210
현대오토에버	307950
지노믹트리	228760
케이비17호스팩	317030
이지케어텍	099750
유안타제4호스팩	313750
미래에셋벤처투자	100790
드림텍	192650
더블유게임즈	192080
에코프로비엠	247540
셀리드	299660
우리금융지주	316140
천보	278280
이노테라피	246960
노랑풍선	104620
웹케시	053580
엘에이티	311060
에어부산	298690
비피도	238200
엔에이치스팩13호	310840
유틸렉스	263050
디케이티	290550
아이엘사이언스	307180
애니플러스	310200
테크엔	308700
오하임아이엔티	309930
위지윅스튜디오	299900
한국제8호스팩	310870
국전약품	307750
에이비엘바이오	298380
프로테옴텍	303360
머큐리	100590
전진바이오팜	110020
뉴트리	270870
상상인이안1호스팩	307870
이노메트리	302430
대유에이피	290120
에코캡	128540
원바이오젠	307280
베스파	299910
윙입푸드	900340
남화산업	111710
엠아이텍	179290
티로보틱스	117730
네오펙트	290660
에이펙스인텍	207490
티앤알바이오팹	246710
나라소프트	288490
아시아나IDT	267850
디알젬	263690
싸이토젠	217330
아주IB투자	027360
파멥신	208340
디케이앤디	263020
디자인	227100
노바렉스	194700
셀리버리	268600
대보마그네틱	290670
노바텍	285490
엘앤씨바이오	290650
네온테크	306620
로보티즈	108490
옵티팜	153710
에스퓨얼셀	288620
세아제강	306200
나우IB	293580
푸드나무	290720
하나제약	293480
크리스에프앤씨	110790
더블유에스아이	299170
지티지웰니스	219750
우진아이엔에스	010400
명성티엔에스	257370
엔피	291230
엔솔바이오사이언스	140610
디지캡	197140
지니틱스	303030
액트로	290740
오파스넷	173130
에이피티씨	089970
바이오솔루션	086820
더콘텐츠온	302920
대유	290380
신한알파리츠	293940
디아이티	110990
에스에스알	275630
한일시멘트	300720
휴네시온	290270
티웨이항공	091810
롯데정보통신	286940
한국유니온제약	080720
그리티	204020
알로이스	297570
올릭스	226950
테크트랜스	258050
효성중공업	298040
효성첨단소재	298050
효성티앤씨	298020
효성화학	298000
아이큐어	175250
SV인베스트먼트	289080
엘리비젼	276240
지앤이헬스케어	299480
이리츠코크렙	088260
EDGC	245620
에스엠비나	299670
HDC현대산업개발	294870
카이노스메드	284620
파워넷	037030
현대사료	016790
세종메디칼	258830
제노레이	122310
디피코	163430
다이노나	086080
제이시스메디칼	287410
에스제이켐	217910
JTC	950170
네오셈	253590
케어랩스	263700
애경산업	018250
에코마이스터	064510
린드먼아시아	277070
오스테오닉	226400
엔지켐생명과학	183490
동구바이오제약	006620
아시아종묘	154030
알리코제약	260660
셀트리온	068270
카페24	042000
링크제니시스	219420
배럴	267790
SG	255220
씨앤지하이테크	264660
쿠쿠홈시스	284740
SK케미칼	285130
시스웍	269620
라이프사이언스테크놀로지	285770
디바이스이엔지	187870
바이오시네틱스	281310
씨알푸드	236030
레이크머티리얼즈	281740
BGF리테일	282330
동양피스톤	092780
진에어	272450
씨티케이	260930
메카로	241770
에스트래픽	234300
케이씨텍	281820
체리부로	066360
대원	007680
비즈니스온	138580
동아타이어	282690
삼양패키징	272550
스튜디오드래곤	253450
비디아이	148140
코오롱티슈진	950160
EMB	278990
테이팩스	055490
롯데제과	280360
탑선	180060
영화테크	265560
세원	234100
상신전자	263810
야스	255440
인산가	277410
휴온스블러썸	263920
신흥에스이씨	243840
유티아이	179900
선익시스템	171090
엠플러스	259630
앱클론	174900
샘코	263540
펄어비스	263750
이십일스토어	270020
케이피에스	256940
시그넷이브이	260870
덕우전자	263600
명진홀딩스	267060
이더블유케이	258610
지엔원에너지	270520
알에스오토메이션	140670
컬러레이	900310
와이즈버즈	273060
모트렉스	118990
데이타솔루션	263800
지니언스	263860
디앤씨미디어	263720
셀트리온헬스케어	091990
이즈미디어	181340
루켄테크놀러지스	162120
힘스	238490
제일약품	271980
브이원텍	251630
아우딘퓨쳐스	227610
이녹스첨단소재	272290
카카오	035720
오리온	271560
하림지주	003380
덴티스	261200
메디안디노스틱	233250
나인테크	267320
다이오진	271850
에스알바이오텍	270210
뿌리깊은나무들	266170
보라티알	250000
매일유업	267980
삼양옵틱스	225190
이랜시스	264850
필옵틱스	161580
미원에스씨	268280
경동도시가스	267290
넷마블	251270
현대건설기계	267270
현대일렉트릭	267260
현대중공업지주	267250
포인트엔지니어링	256630
앙츠	267810
하나머티리얼즈	166090
소프트캠프	258790
와이엠티	251370
엠앤씨생명과학	225860
파워풀엑스	266870
크라운제과	264900
AP시스템	265520
유에스티	263770
이엘피	063760
유비쿼스	264450
서진시스템	178320
코미코	183300
아스타	246720
덴티움	145720
에스디생명공학	217480
신신제약	002800
에프엔에스테크	083500
모바일어플라이언스	087260
피씨엘	241820
호전실업	111110
서플러스글로벌	140070
유바이오로직스	206650
에스앤디	260970
도부마스크	227420
한국비엔씨	256840
피엔아이컴퍼니	242350
DSC인베스트먼트	241520
TS인베스트먼트	246690
셀젠텍	258250
마이크로프랜드	147760
바이오프로테크	199290
애니젠	196300
유니온커뮤니티	203450
신라젠	215600
자비스	254120
핸즈코퍼레이션	143210
오션브릿지	241790
퓨쳐켐	220100
뉴파워프라즈마	144960
엘앤케이바이오	156100
스템랩	258540
시큐센	232830
에이치엔티	176440
핸디소프트	220180
두산밥캣	241560
비플라이소프트	148780
삼성바이오로직스	207940
클리오	237880
오가닉티코스메틱	900300
얼라인드	238120
세화피앤씨	252500
굿센	243870
인크로스	216050
에이치엘사이언스	239610
코스메카코리아	241710
JW생명과학	234080
GRT	900290
안지오랩	251280
골든센츄리	900280
인텔리안테크	189300
에이치시티	072990
잉글우드랩	950140
앤디포스	238090
수산아이앤티	050960
미투온	201490
화승엔터프라이즈	241590
예선테크	250930
LS전선아시아	229640
모두투어리츠	204210
유니테크노	241690
모비스	250060
나무기술	242040
자이글	234920
일동제약	249420
헝셩그룹	900270
샘표식품	248170
에코마케팅	230360
블루탑	191600
두올	016740
엔지스테크널러지	208860
우리손에프앤지	073560
휴벡셀	212310
에스케이씨에스	224020
폴라리스웍스	123010
제노텍	066830
동서	026960
장원테크	174880
위니아딤채	071460
한국자산신탁	123890
한국토지신탁	034830
바이오리더스	142760
피앤씨테크	237750
로스웰	900260
에스엘에스바이오	246250
씨앤에스링크	245450
해성디에스	195870
녹십자랩셀	144510
에스티팜	237690
알엔투테크놀로지	148250
이비테크	208850
줌인터넷	239340
휴온스	243070
나눔테크	244880
KC산업	112190
용평리조트	070960
해태제과식품	101530
원익IPS	240810
인터코스	240340
로보쓰리	238500
레이언스	228850
씨엠에스에듀	225330
동양파일	228340
삼일씨엔에스	004440
팬젠	222110
바이옵트로	222160
AP위성	211270
에이트원	230980
큐리언트	115180
안트로젠	065660
슈프리마	236200
제이에스코퍼레이션	194370
유니트론텍	142210
크리스탈신소재	900250
자안바이오	221610
메디젠휴먼케어	236340
선바이오	067370
볼빅	206950
이엠티	232530
에스와이	109610
질경이	233990
코디엠	224060
잇츠한불	226320
지오씨	135160
크로넥스	215570
경남제약헬스케어	223310
와이아이케이	232140
육일씨엔에쓰	191410
휴젤	145020
한국맥널티	222980
덱스터	206560
아진산업	013310
강스템바이오텍	217730
에이원알폼	234070
에이치엘비제약	047920
메가엠디	133750
보광산업	225530
파크시스템스	140860
에치에프알	230240
예스티	122640
코스맥스엔비티	222040
멕아이씨에스	058110
에이치엔에스하이텍	044990
미애부	225850
엔에스	217820
미래테크놀로지	213090
세진중공업	075580
하이즈항공	221840
캔서롭	180400
매직마이크로	127160
케이디켐	221980
네오오토	212560
엔투텍	227950
케어젠	214370
아이진	185490
인카금융서비스	211050
나무가	190510
유앤아이	056090
금호에이치티	214330
제주항공	089590
본느	226340
파마리서치바이오	217950
연우	115960
럭스피아	092590
노브메타파마	229500
엔케이맥스	182400
현대코퍼레이션홀딩스	227840
KH E&T	226360
엑시콘	092870
